activity_id,npdes_id,version_nmbr,perm_feature_id,perm_feature_nmbr,perm_feature_type_code,perm_feature_type_desc,limit_set_id,limit_set_schedule_id,limit_id,limit_type_code,limit_begin_date,limit_end_date,nmbr_of_submission,parameter_code,parameter_desc,monitoring_location_code,monitoring_location_desc,stay_type_code,stay_type_desc,limit_value_id,limit_value_type_code,limit_value_type_desc,limit_value_nmbr,limit_unit_code,limit_unit_desc,standard_unit_code,standard_unit_desc,limit_value_standard_units,statistical_base_code,statistical_base_short_desc,statistical_base_type_code,statistical_base_type_desc,limit_value_qualifier_code,stay_value_nmbr,dmr_event_id,monitoring_period_end_date,dmr_form_value_id,value_type_code,value_type_desc,dmr_value_id,dmr_value_nmbr,dmr_unit_code,dmr_unit_desc,dmr_value_standard_units,dmr_value_qualifier_code,value_received_date,days_late,nodi_code,nodi_desc,exceedence_pct,npdes_violation_id,violation_code,violation_desc,rnc_detection_code,rnc_detection_desc,rnc_detection_date,rnc_resolution_code,rnc_resolution_desc,rnc_resolution_date,violation_severity
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199453,04/30/2018,3452617618,"C3","Concentration3",3666263793,86,"15","deg F",86,"=",05/15/2018,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199454,05/31/2018,3452617649,"C3","Concentration3",3669426423,95,"15","deg F",95,"=",06/13/2018,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199455,06/30/2018,3452617680,"C3","Concentration3",3670718536,95,"15","deg F",95,"=",07/12/2018,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199456,07/31/2018,3452617711,"C3","Concentration3",3672476707,96,"15","deg F",96,"=",08/09/2018,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199457,08/31/2018,3452617742,"C3","Concentration3",3674703708,97,"15","deg F",97,"=",09/11/2018,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199458,09/30/2018,3452617773,"C3","Concentration3",3676107087,96,"15","deg F",96,"=",10/11/2018,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199459,10/31/2018,3452617804,"C3","Concentration3",3678602154,95,"15","deg F",95,"=",11/12/2018,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199460,11/30/2018,3452617835,"C3","Concentration3",3680371261,86,"15","deg F",86,"=",12/07/2018,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199461,12/31/2018,3452617866,"C3","Concentration3",3681529230,83,"15","deg F",83,"=",01/08/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199462,01/31/2019,3452617897,"C3","Concentration3",3684041918,77,"15","deg F",77,"=",02/08/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199463,02/28/2019,3452617928,"C3","Concentration3",3685320969,83,"15","deg F",83,"=",03/07/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199464,03/31/2019,3452617959,"C3","Concentration3",3687645650,89,"15","deg F",89,"=",04/10/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199465,04/30/2019,3452617990,"C3","Concentration3",3689455684,88,"15","deg F",88,"=",05/09/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199466,05/31/2019,3452618021,"C3","Concentration3",3691538121,92,"15","deg F",92,"=",06/07/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3404199467,06/30/2019,3452618052,"C3","Concentration3",3692817996,98,"15","deg F",98,"=",07/11/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3610998981,07/31/2019,3762740733,"C3","Concentration3",3695353720,98,"15","deg F",98,"=",08/10/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3610999009,08/31/2019,3762741277,"C3","Concentration3",3696804020,98,"15","deg F",98,"=",09/12/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3610999029,09/30/2019,3762741696,"C3","Concentration3",3698216123,98,"15","deg F",98,"=",10/11/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3610999068,10/31/2019,3762742017,"C3","Concentration3",3699866106,95,"15","deg F",95,"=",11/11/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
3400261668,"TX0062677",3,3400101880,"001","EXO","External Outfall",3400139369,3400226127,3401339803,"ENF",08/01/2014,07/01/2019,1,"00011","Temperature, water deg. fahrenheit","1","Effluent Gross","","",3402082283,"C3","Concentration3",108,"15","deg F","15","deg F",108,"DD","DAILY MX","MAX","Maximum","<=",,3610999089,11/30/2019,3762742393,"C3","Concentration3",3702075150,90,"15","deg F",90,"=",12/12/2019,,"","",,,"","","","",,"","",,"No Violation Identified"
