activity_id,npdes_id,version_nmbr,perm_feature_id,perm_feature_nmbr,perm_feature_type_code,perm_feature_type_desc,limit_set_id,limit_set_schedule_id,limit_id,limit_season_id,limit_type_code,limit_begin_date,limit_end_date,nmbr_of_submission,parameter_code,parameter_desc,monitoring_location_code,monitoring_location_desc,stay_type_code,stay_type_desc,limit_value_id,limit_value_type_code,limit_value_type_desc,limit_value_nmbr,limit_unit_code,limit_unit_desc,standard_unit_code,standard_unit_desc,limit_value_standard_units,statistical_base_code,statistical_base_short_desc,statistical_base_type_code,statistical_base_type_desc,limit_value_qualifier_code,stay_value_nmbr,dmr_event_id,monitoring_period_end_date,dmr_form_value_id,value_type_code,value_type_desc,dmr_value_id,dmr_value_nmbr,dmr_unit_code,dmr_unit_desc,dmr_value_standard_units,dmr_value_qualifier_code,value_received_date,days_late,nodi_code,nodi_desc,exceedence_pct,npdes_violation_id,violation_code,violation_desc,rnc_detection_code,rnc_detection_desc,rnc_detection_date,rnc_resolution_code,rnc_resolution_desc,rnc_resolution_date,violation_severity,dmr_due_date,dmr_limit_type_code_desc,dmr_limit_type_desc
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3612968295,01/31/2021,3788199942,"C1","Concentration1",3732924936,5.9,"19","mg/L",5.9,"=",02/10/2021,,"","",,,"","","","",,"","",,"No Violation Identified",02/20/2021,"Enforcement","Base Permit"
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3612968298,02/28/2021,3788200055,"C1","Concentration1",3735355411,5.73,"19","mg/L",5.73,"=",03/09/2021,,"","",,,"","","","",,"","",,"No Violation Identified",03/20/2021,"Enforcement","Base Permit"
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3612968306,03/31/2021,3788200133,"C1","Concentration1",3736849023,5.6,"19","mg/L",5.6,"=",04/13/2021,,"","",,,"","","","",,"","",,"No Violation Identified",04/20/2021,"Enforcement","Base Permit"
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3612968313,04/30/2021,3788200228,"C1","Concentration1",3738924104,4.7,"19","mg/L",4.7,"=",05/11/2021,,"","",,,"","","","",,"","",,"No Violation Identified",05/20/2021,"Enforcement","Base Permit"
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3615038173,05/31/2021,3817721058,"C1","Concentration1",3742517015,5.52,"19","mg/L",5.52,"=",06/09/2021,,"","",,,"","","","",,"","",,"No Violation Identified",06/20/2021,"Enforcement","Base Permit"
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3615038187,06/30/2021,3817721269,"C1","Concentration1",3743840441,5.79,"19","mg/L",5.79,"=",07/13/2021,,"","",,,"","","","",,"","",,"No Violation Identified",07/20/2021,"Enforcement","Base Permit"
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3615038201,07/31/2021,3817721423,"C1","Concentration1",3745609910,4.61,"19","mg/L",4.61,"=",08/10/2021,,"","",,,"","","","",,"","",,"No Violation Identified",08/20/2021,"Enforcement","Base Permit"
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3615038214,08/31/2021,3817721574,"C1","Concentration1",3748558415,5.6,"19","mg/L",5.6,"=",09/14/2021,,"","",,,"","","","",,"","",,"No Violation Identified",09/20/2021,"Enforcement","Base Permit"
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3615038228,09/30/2021,3817721716,"C1","Concentration1",3749834312,5.71,"19","mg/L",5.71,"=",10/12/2021,,"","",,,"","","","",,"","",,"No Violation Identified",10/20/2021,"Enforcement","Base Permit"
3602064155,"TX0119407",0,3600435311,"001","EXO","External Outfall",3600478276,3600684408,3604917385,"0","ENF",01/01/2020,12/06/2024,1,"00300","Oxygen, dissolved [DO]","1","Effluent Gross","","",3608344130,"C1","Concentration1",4,"19","mg/L","19","mg/L",4,"MO","MO MIN","MIN","Minimum",">=",,3615038244,10/31/2021,3817721854,"C1","Concentration1",3752994438,5.67,"19","mg/L",5.67,"=",11/12/2021,,"","",,,"","","","",,"","",,"No Violation Identified",11/20/2021,"Enforcement","Base Permit"
