"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip"
"CHARLESTON MILL PHASE 1A AND PHASE 1B","TXR1517OE","3118 HOLLEMAN DR S","COLLEGE STATION","TX","9","77845-3475"
"CHICK-FIL-A - BRYAN BRAZOS VALLEY MARKETPLACE","TXR1548EO","1542 W. VILLA MARIA RD.","BRYAN","TX",,"77807"
"CHICK-FIL-A - BRYAN BRAZOS VALLEY MARKETPLACE","TXR1524DR","1542 W. VILLA MARIA RD.","BRYAN","TX",,"77807"
"CHICK-FIL-A - COLLEGE STATION FM 2818 & WELLBORN TX 4215","TXR15876W","HARVEY MITCHELL PARKWAY SOUTH AND WELLBORN ROAD","COLLEGE STATION","TX",,"77845"
"CHICK-FIL-A - COLLEGE STATION FM 2818 & WELLBORN TX 4215","TXR15499V","HARVEY MITCHELL PARKWAY SOUTH AND WELLBORN ROAD","COLLEGE STATION","TX",,"77845"
"CHIMNEY HILL RETAIL CENTER NO 2","TXR1534BW","713 UNIVERSITY DR E","COLLEGE STATION","TX",,"77840"
"CITY OF BRYAN HILLSIDE DR","TXR1598NI","HILLSIDE DR AND OLD OAKS DR","BRYAN","TX",,"77802"
"CITY OF BRYAN MS4","TXR040336","AREA WITHIN THE CITY OF BRYAN LIMITS THAT IS LOCAT","BRYAN","TX","9","77805"
"CITY OF BRYAN TRAVIS PARK FIELDS - PHASE 1C","TXR1594CO","2200 BOMBER DR","BRYAN","TX",,"77801"
"CITY OF COLLEGE STATION CITY HALL","TXR1523BW","1101 TEXAS AVE S","COLLEGE STATION","TX",,"77840-2433"
"CITY OF COLLEGE STATION FACILITY MAINTENANCE","TXR1576FZ","303 WILLIAM KING COLE DRIVE","COLLEGE STATION","TX",,"77840"
"CITY OF COLLEGE STATION FLEET SERVICE IMPROVEMENTS","TXR1571IB","300 W KING COLE DRIVE","COLLEGE STATION","TX",,"77840"
"CITY OF COLLEGE STATION MS4","TXR040008","AREA WITHIN THE CITY OF COLLEGE STATION LIMITS THA","COLLEGE STATION","TX","9","77842"
"CITY SOUTH OFFICE COMPLEX - PHASE 1","TXR1525AQ","THIS PROJECT IS LOCATED SOUTH OF LAKEWAY DRIVE, JU","COLLEGE STATION","TX",,"77845"
"CLIMATE DOCTORSSTANDARD SUPPLY","TXR15777U","10129 SH 30","BRYAN","TX",,"77845"
"COBRA PROTECTIVE COATINGS","TXR05BJ53","6248 W HWY 21","BRYAN","TX",,"77807"
"COCS CENTRAL PARK","TXR1581LO","1000 KRENEK TAP RD","COLLEGE STATION","TX",,"77840"
"COCS STEEPLECHASE PARK","TXR1582LO","301 W RIDGE DRIVE","COLLEGE STATION","TX",,"77845"
"COLLEGE STATION POLICE HEADQUARTERS","TXR15503T","PROJECT LOCATED ON DARTMOUTH STREET AND KRENEK TAP","COLLEGE STATION","TX",,"77845"
"COLLIER RESIDENCE","TXR1524JT","4217 TUSCANY CT","BRYAN","TX",,"77802"
"CONNORS COVE","TXR1529BS","HEADED NORTH ON HWY 6, TAKE THE WOODVILLE RD EXIT,","BRYAN","TX",,"77808"
"CONNORS COVE","TXR15359W","HEADED NORTH ON HWY 6, TAKE THE WOODVILLE RD EXIT,","BRYAN","TX",,"77808"
"COOPERS BBQ","TXR15057T","PROJECT LOCATED ON TEXAS HIGHWAY 6 AT THE CORNER O","COLLEGE STATION","TX",,"77845"
"CORDOVA RIDGE","TXR10F4RV","SE OF PASSENDALE LANE & RENEE LANE","COLLEGE STATION","TX",,"77845"
"CORDOVA RIDGE","TXR10F4RZ","SE OF PASSENDALE LANE & RENEE LANE","COLLEGE STATION","TX",,"77845"
"CORSAIR HEALTHCARE & REHAB","TXR1513IB","3105 CORSAIR DRIVE","COLLEGE STATION","TX",,"77845"
"CORSAIR HEALTHCARE & REHABILITATION","TXR1590ID","3155 CORSAIR DRIVE","COLLEGE STATION","TX",,"77845"
"COSTCO WHOLESALE - COLLEGE STATION","TXR1558GU","4321 STATE HIGHWAY 6 S","COLLEGE STATION","TX",,"77845"
"COULTER BUSINESS PARK","TXR1518KU","PROCEED EAST FROM HWY 6 ON TO US HWY190/HWY 21 FOR","BRYAN","TX",,"77808"
"COULTER BUSINESS PARK","TXR1547NX","PROCEED EAST FROM HWY 6 ON TO US HWY190/HWY 21 FOR","BRYAN","TX","9","77808"
"COULTER DRIVE RECONSTRUCTION","TXR1586BU","COULTER DRIVE FROM S. COLLEGE AVENUE TO E. WILLIAM","BRYAN","TX",,"77803"
"COULTER FIELD","TXR05DS44","6120 E STATE HIGHWAY 21","BRYAN","TX",,"77808-8642"
"CRESCENT POINT PARKWAY","TXR15772L","2301 CRESCENT POINT PARKWAY","COLLEGE STATION","TX",,"77845"
"CRESCENT POINTE OFFICE PARK","TXR15275Z","SITE LOCATED ON CRESCENT POINTE PARKWAY","COLLEGE STATION","TX",,"77845"
"CROSSING AT WELLBORN","TXR15613W","PROJECT IS NORTH EAST OF THE INTERSECTION OF WELLB","COLLEGE STATION","TX",,"77845"
"CROWLEY OFFICE BUILDINGS","TXR1592HS","1275 ARRINGTON RD","COLLEGE STATION","TX",,"77845"
"CRUZ SALVAGE YARD","TXR05FJ79","2506 W 28TH ST","BRYAN","TX",,"77803-2103"
"CRUZ SALVAGE YARD","TXR05AL43","2506 W 28TH ST","BRYAN","TX",,"77803-2103"
"CSISD ELEMENTARY SCHOOL 10","TXR15420M","CORNER OF ROCK PRAIRIE AND HOLLEMAN DRIVE SOUTH. 4","COLLEGE STATION","TX",,"77840"
"DARTMOUTH STREET EXTENSION PHASE 1","TXR15517U","2338 HARVEY MITCHELL PKWY S","COLLEGE STATION","TX",,"77845-5016"
"DE BACA STEAKHOUSE","TXR1588QK","4436 STATE HIGHWAY 6 SOUTH","COLLEGE STATION","TX","9","77845"
"DEERFIELD EXTENSION","TXR1561EA","10253 SH 30","COLLEGE STATION","TX",,"77845"
"DICK ELLIOTT ROAD","TXR1520FV","ALONG DICK ELLIOTT ROAD FROM BICKHAM CEMETERY ROAD","BRYAN","TX",,"77808"
"DOGGETT AUTO PARTS","TXR05AV27","3601 OLD KURTEN RD","BRYAN","TX",,"77808-5432"
"DOLLAR TREE - BRYAN","TXR1545NO","1654 W VILLA MARIA RD","BRYAN","TX",,"77807-2322"
"DOMINION OAKS SUBDIVISION","TXR1561FM","2008 BIENSKI PKWY","BRYAN","TX",,"77807"
"DRURY INN & SUITES","TXR1524BL","705 UNIVERSITY DR E","COLLEGE STATION","TX","9","77840-1804"
"DUNKIN DONUTS","TXR1509BW","100 WELLBORN RD","COLLEGE STATION","TX",,"77840"
"DUTCH BROS COFFEE","TXR1552CY","12065 FM 2154 RD","COLLEGE STATION","TX",,"77845"
"DUTCH BROS COFFEE","TXR1512EW","2101 STATE HIGHWAY 6 SOUTH","COLLEGE STATION","TX",,"77845"
"DUTCH BROTHERS COFFEE","TXR1580EL","2341 BOONVILLE RD","BRYAN","TX",,"77808"
"DYNACON","TXR05DQ81","830 INDUSTRIAL BLVD","BRYAN","TX",,"77803-2007"
"EAST GATE REHABILITATION PROJECT PHASE IV","TXR15727G","INTERSECTION OF TEXAS AVE & FRANCIS DR AND TEXAS A","COLLEGE STATION","TX",,"77840"
"EASTERWOOD AIRPORT","TXR05Y578","1 MCKENZIE TERMINAL BLVD","COLLEGE STATION","TX",,"77845-8501"
"EASTERWOOD AIRPORT","TXR1583HS","1 MCKENZIE TERMINAL BLVD","COLLEGE STATION","TX",,"77845-8501"
"EASTERWOOD AIRPORT MANAGEMENT","TXR05ET23","1 MCKENZIE TERMINAL BLVD STE 112","COLLEGE STATION","TX",,"77845-8578"
"EASTERWOOD AIRPORT TAXIWAY C & C1 REHABILITATION","TXR1533AZ","1 MCKENZIE TERMINAL BLVD","COLLEGE STATION","TX",,"77845"
"EDGEWATER","TXR15811N","1700 FEET SOUTH OF THE INTERSECTION OF LEONARD RD.","BRYAN","TX","9","77807"
"EDGEWATER SUBDIVISION","TXR15651F","THE PROJECT SITE IS LOCATED ON CHICK LANE, BRYAN,","BRYAN","TX","9","77807"
"EMERALD RIDGE ESTATES PHS. 3A & 3B","TXR10F9LH","SE OF APPOMATTOX DR. & EMERALD PKWY","COLLEGE STATION","TX",,"77845"
"EMERALD RIDGE ESTATES PHS. 3A & 3B","TXR10F9LD","SE OF APPOMATTOX DR. & EMERALD PKWY","COLLEGE STATION","TX",,"77845"
"ENCINO TRACE APARTMENTS","TXR1536AB","2336 HARVEY MITCHELL PKWY S","COLLEGE STATION","TX",,"77845"
"EXPRESS OIL CHANGE & TIRE ENGINEERS","TXR1518KI","12051 WELLBORN ROAD","COLLEGE STATION","TX",,"77379"
"FDBT BUILDING 200 AND 300 ANNEX","TXR1597KI","3939 BIO-MEDICAL WAY","COLLEGE STATION","TX","9","77845-2037"
"FEDERAL EXPRESS COLLEGE STATION","TXR05CZ16","3205 LONGMIRE DR","COLLEGE STATION","TX",,"77845-5809"
"FINISHING CENTER","TXRNEZ245","350 STONE CITY DR","BRYAN","TX",,"77803"
"FIRST FINANCIAL BANK MAIN EXTENSION","TXR10FA19","HARVEY MITCHELL PKWY","COLLEGE STATION","TX",,"77845"
"FM 1179","TXR1547PI","THIS PROJECT IS LOCATED ALONG W. VILLA MARIA RD FR","BRYAN","TX","9","77807"
"FM 158","TXR1520KR","EAST WILLIAM J BRYAN STREET FROM SH 6 FRONTAGE RD","BRYAN","TX","9","77803"
"FM 2818 GRADING PROJECT","TXR1594OM","729 S ROSEMARY DRIVE","BRYAN","TX","9","77803"
"FOREST GROVE APARTMENTS","TXR1539AN","3105 LEONARD RD","BRYAN","TX",,"77803"
"FOREST MILLER","TXR15648F","9017 GREEN BRANCH LOOP","BRYAN","TX",,"77808-4918"
"FOREST MILLER","TXR15424O","9017 GREEN BRANCH LOOP","BRYAN","TX",,"77808-4918"
"FOREST MILLER","TXR15144Z","9017 GREEN BRANCH LOOP","BRYAN","TX",,"77808-4918"
"FOREST PINES APARTMENTS","TXR15160L","852 N HARVEY MITCHELL PKWY","BRYAN","TX",,"77807-1015"
"FOUNTAIN AVENUE PRODUCTION FACILITY","TXRNEZ246","1460 FOUNTAIN AVE","BRYAN","TX",,"77801-1129"
"FRANCIS DRIVE I & II","TXR1504CN","FRANCIS DRIVE, FROM GLENHAVEN DRIVE TO WALTON DRIV","COLLEGE STATION","TX",,"77845"
"FRANCIS DRIVE REHABILITATION PROJECT PHASES 1 AND 2","TXR15978I","LOCATED ON FRANCIS DRIVE FROM WALTON DRIVE TO GLEN","COLLEGE STATION","TX",,"77840"
"FUJIFILM DIOSYNTH BIOTECHNOLOGIES","TXRNECE58","3939 BIOMEDICAL WAY","COLLEGE STATION","TX","9","77845"
"FUJIFILM DIOSYNTH BIOTECHNOLOGIES","TXRNEBC59","3939 BIO-MEDICAL WAY","COLLEGE STATION","TX",,"77845-2037"
"FUJIFILM NEXUS WAREHOUSE","TXR1502GR","3945 BIOMEDICAL WAY","COLLEGE STATION","TX",,"77845"
"FUJIFILM NEXUS WAREHOUSE","TXR1576DC","3939 BIOMEDICAL WAY","COLLEGE STATION","TX",,"77845-2037"
"FUJIFILM TEMPORARY WAREHOUSE","TXR1525ED","3939 BIOMEDICAL WAY","COLLEGE STATION","TX",,"77845-2037"
"FUJIFILM VIC LAB","TXR1515CP","GOING EAST ON HSC PARKWAY OFF OF HWY 47 APPROXIMAT","COLLEGE STATION","TX",,"77840"
"GBBF PAVILION","TXR1590KE","EAST SIDE OF BARBARA BUSH DRIVE WHERE IT INTERSECT","COLLEGE STATION","TX","9","77845"
"GCRBC - GULF COAST REGIONAL BLOOD CENTER","TXR1559IW","1015 KRENEK TAP RD","COLLEGE STATION","TX",,"77840"
"GEOCHEMICAL AND ENVIRONMENTAL RESEARCH GROUP","TXR15419R","PROJECT IS LOCATED AT THE INTERSECTION OF HIBISCUS","COLLEGE STATION","TX",,"77845"
